year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2020-10,2021-09,Long-term migrant,Arrivals,Male,5-9 years,158,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Female,50-54 years,112,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Male,50-54 years,115,4,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Female,55-59 years,136,2,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Male,55-59 years,119,3,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Female,60-64 years,99,2,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Male,60-64 years,107,2,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Female,65-69 years,81,2,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Male,65-69 years,89,2,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Female,70-74 years,40,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Male,70-74 years,49,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Female,75-79 years,21,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Male,75-79 years,24,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Female,80-84 years,4,0,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Male,80-84 years,2,0,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Female,85-89 years,4,0,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Male,85-89 years,1,0,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Male,90+ years,1,0,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,0-4 years,109,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,0-4 years,118,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,10-14 years,56,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,10-14 years,37,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,15-19 years,82,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,15-19 years,111,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,20-24 years,234,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,20-24 years,300,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,25-29 years,376,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,25-29 years,453,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,30-34 years,244,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,30-34 years,359,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,35-39 years,161,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,35-39 years,206,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,40-44 years,90,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,40-44 years,142,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,45-49 years,85,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,45-49 years,118,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,5-9 years,66,0,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,5-9 years,78,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,50-54 years,89,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,50-54 years,81,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,55-59 years,93,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,55-59 years,97,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,60-64 years,102,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,60-64 years,69,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,65-69 years,83,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,65-69 years,99,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,70-74 years,36,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,70-74 years,27,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,75-79 years,15,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,75-79 years,16,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,80-84 years,10,0,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,80-84 years,12,0,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,85-89 years,3,0,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,85-89 years,3,0,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,0-4 years,104,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,0-4 years,88,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,10-14 years,46,1,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,10-14 years,66,1,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,15-19 years,6,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,15-19 years,-20,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,20-24 years,-11,3,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,20-24 years,-137,3,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,25-29 years,9,4,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,25-29 years,-125,4,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,30-34 years,120,3,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,30-34 years,5,5,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,35-39 years,88,3,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,35-39 years,63,5,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,40-44 years,89,3,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,40-44 years,62,4,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,45-49 years,13,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,45-49 years,45,5,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,5-9 years,72,1,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,5-9 years,80,1,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,50-54 years,23,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,50-54 years,34,4,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,55-59 years,43,3,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,55-59 years,22,4,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,60-64 years,-3,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,60-64 years,38,3,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,65-69 years,-1,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,65-69 years,-10,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,70-74 years,4,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,70-74 years,22,2,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,75-79 years,6,1,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,75-79 years,9,1,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,80-84 years,-6,0,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,80-84 years,-10,1,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,85-89 years,1,0,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,85-89 years,-2,0,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,90+ years,1,0,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,0-4 years,420,2,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,10-14 years,205,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,15-19 years,178,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,20-24 years,387,3,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,25-29 years,713,4,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,30-34 years,728,5,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,35-39 years,518,6,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,40-44 years,383,5,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,45-49 years,262,5,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,5-9 years,296,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,50-54 years,227,4,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,55-59 years,255,4,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,60-64 years,207,3,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,65-69 years,170,3,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,70-74 years,90,2,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,75-79 years,45,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,80-84 years,6,1,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,85-89 years,5,0,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,0-4 years,227,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,10-14 years,93,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,15-19 years,193,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,20-24 years,534,5,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,25-29 years,829,5,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,30-34 years,603,5,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,35-39 years,367,4,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,40-44 years,232,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,45-49 years,204,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,5-9 years,144,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,50-54 years,170,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,55-59 years,190,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,60-64 years,172,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,65-69 years,182,3,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,70-74 years,63,2,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,75-79 years,30,1,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,80-84 years,22,0,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,85-89 years,6,0,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,0-4 years,193,3,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,10-14 years,112,2,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,15-19 years,-14,3,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,20-24 years,-147,5,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,25-29 years,-116,6,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,30-34 years,125,7,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,35-39 years,151,7,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,40-44 years,151,5,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,45-49 years,58,6,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,5-9 years,152,2,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,50-54 years,57,5,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,55-59 years,65,5,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,60-64 years,35,4,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,65-69 years,-11,4,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,70-74 years,27,2,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,75-79 years,15,1,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,80-84 years,-16,1,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,85-89 years,-1,0,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,90+ years,1,0,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,90+ years,0,0,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,90+ years,1,0,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Female,TOTAL,2538,9,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,Male,TOTAL,2557,19,Provisional
2020-10,2021-09,Long-term migrant,Departures,Female,TOTAL,1933,11,Provisional
2020-10,2021-09,Long-term migrant,Departures,Male,TOTAL,2326,13,Provisional
2020-10,2021-09,Long-term migrant,Net,Female,TOTAL,604,14,Provisional
2020-10,2021-09,Long-term migrant,Net,Male,TOTAL,231,23,Provisional
2020-10,2021-09,Long-term migrant,Arrivals,TOTAL,TOTAL,5095,24,Provisional
2020-10,2021-09,Long-term migrant,Departures,TOTAL,TOTAL,4260,21,Provisional
2020-10,2021-09,Long-term migrant,Net,TOTAL,TOTAL,835,32,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,0-4 years,186,7,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,0-4 years,182,7,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,10-14 years,98,4,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,10-14 years,109,3,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,15-19 years,107,5,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,15-19 years,82,4,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,20-24 years,159,5,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,20-24 years,148,5,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,25-29 years,353,9,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,25-29 years,315,8,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,30-34 years,313,8,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,30-34 years,287,8,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,35-39 years,204,6,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,35-39 years,194,6,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,40-44 years,160,6,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,40-44 years,153,6,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,45-49 years,110,5,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,45-49 years,134,6,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,5-9 years,125,4,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,5-9 years,126,4,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,50-54 years,88,5,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,50-54 years,97,5,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,55-59 years,114,6,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,55-59 years,103,5,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,60-64 years,99,6,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,60-64 years,110,6,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,65-69 years,71,4,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,65-69 years,82,5,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,70-74 years,21,2,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,70-74 years,25,2,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,75-79 years,14,2,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,75-79 years,21,2,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,80-84 years,13,1,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,80-84 years,9,1,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,85-89 years,2,0,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,85-89 years,3,0,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,90+ years,1,0,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,90+ years,1,0,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,0-4 years,88,4,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,0-4 years,114,5,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,10-14 years,60,3,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,10-14 years,59,3,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,15-19 years,127,6,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,15-19 years,148,6,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,20-24 years,295,9,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,20-24 years,385,10,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,25-29 years,326,9,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,25-29 years,396,10,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,30-34 years,251,8,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,30-34 years,316,9,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,35-39 years,141,6,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,35-39 years,182,8,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,40-44 years,101,6,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,40-44 years,120,6,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,45-49 years,85,5,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,45-49 years,101,5,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,5-9 years,84,3,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,5-9 years,89,3,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,50-54 years,98,5,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,50-54 years,86,5,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,55-59 years,109,6,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,55-59 years,72,5,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,60-64 years,114,7,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,60-64 years,76,5,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,65-69 years,96,6,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,65-69 years,93,6,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,70-74 years,41,3,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,70-74 years,31,3,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,75-79 years,19,2,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,75-79 years,13,2,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,80-84 years,10,1,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,80-84 years,15,1,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,85-89 years,4,1,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,85-89 years,3,1,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,90+ years,1,0,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,0-4 years,98,7,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,0-4 years,68,8,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,10-14 years,38,5,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,10-14 years,50,4,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,15-19 years,-20,7,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,15-19 years,-66,7,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,20-24 years,-136,11,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,20-24 years,-237,11,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,25-29 years,27,12,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,25-29 years,-81,12,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,30-34 years,62,11,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,30-34 years,-28,12,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,35-39 years,64,8,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,35-39 years,12,10,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,40-44 years,59,8,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,40-44 years,33,8,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,45-49 years,25,6,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,45-49 years,32,8,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,5-9 years,41,5,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,5-9 years,37,5,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,50-54 years,-10,7,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,50-54 years,11,6,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,55-59 years,4,8,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,55-59 years,31,7,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,60-64 years,-14,8,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,60-64 years,35,7,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,65-69 years,-25,7,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,65-69 years,-11,7,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,70-74 years,-20,4,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,70-74 years,-6,3,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,75-79 years,-5,2,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,75-79 years,7,2,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,80-84 years,3,1,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,80-84 years,-6,2,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,85-89 years,-2,1,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,85-89 years,-1,1,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,90+ years,0,0,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,90+ years,1,0,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,0-4 years,368,12,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,10-14 years,207,6,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,15-19 years,189,7,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,20-24 years,307,8,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,25-29 years,668,13,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,30-34 years,600,13,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,35-39 years,398,10,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,40-44 years,313,9,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,45-49 years,243,9,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,5-9 years,250,6,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,50-54 years,186,8,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,55-59 years,217,9,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,60-64 years,210,10,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,65-69 years,153,8,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,70-74 years,46,3,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,75-79 years,35,3,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,80-84 years,22,2,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,85-89 years,5,1,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,0-4 years,202,7,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,10-14 years,119,5,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,15-19 years,275,10,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,20-24 years,680,16,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,25-29 years,722,16,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,30-34 years,566,14,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,35-39 years,323,11,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,40-44 years,221,9,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,45-49 years,186,8,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,5-9 years,173,6,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,50-54 years,184,8,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,55-59 years,181,9,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,60-64 years,189,10,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,65-69 years,189,10,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,70-74 years,72,5,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,75-79 years,33,3,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,80-84 years,25,2,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,85-89 years,7,1,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,0-4 years,166,13,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,10-14 years,88,7,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,15-19 years,-86,12,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,20-24 years,-373,18,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,25-29 years,-54,20,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,30-34 years,34,18,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,35-39 years,75,14,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,40-44 years,92,12,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,45-49 years,57,12,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,5-9 years,77,8,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,50-54 years,2,10,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,55-59 years,35,12,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,60-64 years,20,13,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,65-69 years,-36,12,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,70-74 years,-26,5,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,75-79 years,2,4,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,80-84 years,-3,2,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,85-89 years,-3,1,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,90+ years,2,0,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,90+ years,1,0,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,90+ years,1,0,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Female,TOTAL,2237,41,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,Male,TOTAL,2182,39,Provisional
2020-11,2021-09,Long-term migrant,Departures,Female,TOTAL,2049,41,Provisional
2020-11,2021-09,Long-term migrant,Departures,Male,TOTAL,2301,44,Provisional
2020-11,2021-09,Long-term migrant,Net,Female,TOTAL,188,51,Provisional
2020-11,2021-09,Long-term migrant,Net,Male,TOTAL,-119,52,Provisional
2020-11,2021-09,Long-term migrant,Arrivals,TOTAL,TOTAL,4419,72,Provisional
2020-11,2021-09,Long-term migrant,Departures,TOTAL,TOTAL,4349,76,Provisional
2020-11,2021-09,Long-term migrant,Net,TOTAL,TOTAL,70,93,Provisional
2020-12,2021-09,Long-term migrant,Arrivals,Female,0-4 years,191,9,Provisional
